字头	释义
间	<形>通“闲”。空闲；安静。《楚辞·招魂》：“像设君室，静～安些。”
鉴	1<名>镜子。《新唐书·魏徵传》：“以铜为～，可以正衣冠。”2<动>照；照视。《庄子·德充符》：“人莫～于流水而～于止水。”3<动>鉴察；审察。《柳毅传》：“老父之罪，不能～听，坐贻聋瞽。”4<动>借鉴；鉴戒。《阿房宫赋》：“后人哀之而不～之，亦使后人复哀后人也。”5<动>鉴别；识别。《吕氏春秋·適音》：“谿极则不～，不～则竭。”【引】<名>识别力。《梁书·到洽传》：“乐安任昉有知人之～。”
键	1<名>门闩。《淮南子·主术训》：“五寸之～，制开阖之门。”2<名>锁簧，旧式锁可以插入和拔出的部分。《周礼·地官·司门》：“司门掌授管～，以启闭国门。”【引】<名>钥匙。郭璞《尔雅序》：“诚九流之津涉，六艺之钤～。”3<动>锁闭。《晋书·陶侃传》：“至使西门不～。”
槛	1<名>关野兽的栅栏或笼子。司马迁《报任少卿书》：“猛虎在深山，百兽震恐；及在～穽之中，摇尾而求食。”2<名>囚笼；牢房。《晋书·纪瞻传》：“便破～出之。”3<名>栏杆。《阿房宫赋》：“直栏横～，多于九土之城郭。”
槛	<名>门下的横木。《红楼梦》：“只见小丫头丰儿坐在房门～儿上。”
江	1<名>长江的专称。《公输》：“～汉之鱼鳖鼋鼍为天下富。”【又】<名>江面。《群英会将干中计》：“早见东吴船只，蔽～而来。”2<名>泛指江河；河流。《劝学》：“假舟楫者，非能水也而绝～河。”
将	1<动>搀扶；扶持。《木兰诗》：“爷娘闻女来，出郭相扶～。”2<动>带领；携带。《塞翁失马》：“居数月，其马～胡骏马而归。”3<动>拿；持。《林教头风雪山神庙》：“果品酒馔只顾～来。”4<动>将就；随顺。《新婚别》：“生女有所归，鸡狗亦得～。”5<动>想要；打算。《曹刿论战》：“齐师伐我，公～战。”6<副>将要；就要。《郑伯克段于鄢》：“国不堪贰，君～若之何？”7<介>把；用。《祭妹文》：“可～身后托汝。”8<连>抑或；还是。《战国策·楚策四》：“先生老悖乎，～以为楚国祆祥乎？”9<连>假若；如果。《祭妹文》：“今而后吾～再病，教从何处呼汝耶？”10<连>和；与。李白《月下独酌》：“暂伴月～影，行乐须及春。”11<助>用于动词后，以助语气。《卖炭翁》：“一车炭，千余斤，宫使驱～惜不得。”⑿<连>且；又。表顺承。李华《吊古战场文》：“人或有言，～信～疑。”
将	1<动>统率；率领。《项羽本纪赞》：“三年，遂～五诸侯灭秦。”2<名>将领；将帅。《廉颇蔺相如列传》：“廉颇者，赵之良～也。”3<名使动>使……为将军。《史记·孙子吴起列传》：“齐威王欲～孙膑。”
将	1<动>请，愿。李白《将进酒》：“～进酒，杯莫停。”2通“锵”，见“将将”。
浆	1<名>汁水；汁液。吴伟业《永和宫词》：“荔枝～热玉鱼琼。”2<名>泛指饮料。《孟子·梁惠王》：“箪食壶～，以迎王师。”3<名>酒。《列子·杨朱》：“糟～之气逆于人鼻。”4<动>用米汤浸纱、布、衣服等，使其干后发硬发挺。《林教头风雪山神庙》：“但有衣服，便拿来家里～洗缝补。”
僵	1<动>倒；倒下。《观巴黎油画记》：“而军士之折臂断足，血流殷地，偃仰～仆者，令人目不忍睹。”2<形>僵硬；不活动。《促织》：“东曦既驾。～卧长愁。”
疆	1<名>疆界；边界。《得道多助，失道寡助》：“域民不以封～之界。”2<动>划分边界；设立界限。《诗经·小雅·信南山》：“我～我理，南东其亩。”3<名>极限；止境。《少年中国说》：“壮哉我中国少年，与国无～。”
讲	1<动>讲和；构和。《史记·甘茂列传》：“樗里子与魏～，罢兵。”2<动>研究；讨论。《柳毅传》：“吾君方幸玄珠阁，与太阳道士～火经。”3<动>讲求；重视。《谭嗣同》：“时诸将之中惟袁世凯久使朝鲜，～中外之故，国主变法。”4<动>讲解；解说。《梁书·阮孝绪传》：“后于钟山听～。”5<动>讲习；练习。《教战守策》：“秋冬之隙，致民田猎以～武。”6<动>行；用。《芋老人传》：“丞、尉闻之，谓老人与相国有旧，邀见～钧礼。”
奖	1<动>劝勉；勉励。《出师表》：“当～率三军，北定中原。”2<动>夸奖；称赞。《南史·谢眺传》：“眺好～人才。”3<动>辅佐；帮助。《左传·僖公二十八年》：“皆～王室，无相害也。”
匠	<名>木工。《庄子·马蹄》：“陶～善治埴木。”泛指手工业工人。《韩非子·定法》：“夫～者手巧也，而医者齐药。”
降	1<动>从高处往下走。《游黄山记》：“一路沿危壁西行，凡再～升。”2<动>降落；下降。《唐雎不辱使命》：“怀怒未发，休祲～于天。”3<动>降低；减缓。《送东阳马生序》：“未尝稍～辞色。”4<动>莅临；光临。《湘夫人》：“帝子～兮北渚。”5<动>降生；出生。《离骚》：“惟庚寅吾以～。”
降	1<动>降服；制服。《信陵君窃符救赵》：“今邯郸旦暮～秦，而魏救不至。”2<动>投降。《赤壁之战》：“比至南郡，而琮已～。”
绛	1<名>深红色。《三国志·吴书·吕蒙传》：“为兵作～衣行縢。”2<名>绛草。左思《吴都赋》：“纶组紫～，食葛香茅。”3<名>地名。一今山东翼城东南，一今山西曲沃西南。
交	1<动>交叉；交错。《鸿门宴》：“～戟之士欲止不内。”2<副>交互；交相。《与朱元思书》：“疏条～映。”3<动>交换；互换。《左传·隐公三年》：“故周郑～质。”4<动>交接；交合。《促织》：“自昏达曙，目不～睫。”5<动>结交；交往。《赵威后问齐使》：“上不臣于王，下不治其家，中不索～诸侯。”6<名>交情；交谊。《廉颇蔺相如列传》：“卒相与欢，为刎刭之～。”7<名>同盟；盟约。《谋攻》：“故上兵伐谋，其次伐～。”《过秦论》：“合从缔～，相与为一。”8<名>时间或空间的交接处。《左传·僖公五年》：“其九月十月之～乎？”9<动>接受。《水浒传》：“一手～钱，一手～货。”10<副>全；都。《报刘一丈书》：“闻者亦心计～赞之。”11<名>交州的省称。《孔雀东南飞》：“杂彩三百匹，～广市鲑珍。”
郊	1<名>上古都城之外百里之内的地区称郊。《硕鼠》：“逝将去汝，适彼乐～。”2<名>泛指城外；野外。《茅屋为秋风所破歌》：“茅飞渡江洒江～。”
姣	<形>美好。张衡《南都赋》：“男女～服。”
娇	1<形>美好可爱的。《孔雀东南飞》：“云有第五郎，～逸未有婚。”2<形>娇柔；娇气。白居易《长恨歌》：“侍儿扶起～无力。”3<形>受宠的；被宠爱的。《茅屋为秋风所破歌》：“布衾多年冷似铁，～儿恶卧踏里裂。”
浇	1<动>灌溉。《三国志·邓艾传》：“宜开河渠，可以引水～溉。”2<动使动>使……变薄。《汉书·黄霸传》：“～淳散朴，并行伪貌。”
骄	1<形>(马)高大健壮。《诗经·卫风·硕人》：“四牡有～。”2<形>旺盛；强烈。王安石《孤桐》：“岁老根弥壮，阳～叶更阴。”3<形>高傲；自大。《张衡传》：“时国王～奢，不遵典宪。”4<动>对……傲慢无礼；傲慢对待。《信陵君窃符救赵》：“不敢以其富贵～士。”5<动>宠爱；娇惯。嵇康《与山巨源绝交书》：“少加孤露，母兄见～。”
焦	1<动>烧焦；烧伤。《阿房宫赋》：“楚人一炬，可怜～土。”2<形>干燥；干渴。《茅屋为秋风所破歌》：“唇～口燥呼不得。”3<形>枯萎；干枯。《智取生辰纲》：“赤日炎炎似火烧，野田禾稻半枯～。”4<名>焦味；糊味。《礼记·月令》：“其味苦，其臭～。”5<名>黑黄色。陶弘景《真诰·运象》：“心悲则画～。”6<动>焦急；焦躁。《西厢记》：“添香的行者心～。”
蛟	1<名>传说中一种像龙的能兴云雨发洪水的动物。《湘夫人》：“～何为兮水裔。”2<名>鼍、鳄一类的凶猛水生动物。《周处》：“又义兴水中有～，山中有白额虎，并皆暴犯百姓。”
僬	见“僬侥”
角	1<名>兽角；动物头上长的角。《柳毅传》：“而大小毛～，则无别羊焉。”2<名>形状像兽角的物体。《阿房宫赋》：“各抱地势，钩心斗～。”3<名>号角。古代军中乐器。《破阵子·为陈同甫赋壮词以寄之》：“醉里挑灯看剑，梦回吹～连营。”4<名>边角；角落。《口技》：“于厅事之东北～施八尺屏障。”5<名>额角；额头。丘迟《与陈伯之书》：“朝鲜昌海，蹶～受化。”6<名>古代量器。《管子·七法》：“尺寸也，绳墨也，……～量也，谓之法。”7<量>用于计量饮料。《鲁提辖拳打镇关西》：“先打四～酒来。”
角	1<动>角斗；争斗；较量。《促织》：“日与其子弟～，无不胜。”2<名>角色。如“丑角”、“旦角”。3<名>盛酒器。《礼记·礼器》：“宗庙之祭，……卑者举～。”
佼	1<形>美好。王充《论衡·骨相》：“陈平贫而饮食不足，貌体～好而众人怪之。”2<形>健壮。3<形>通“狡”，狡诈。《管子·七臣七主》：“好～反而行私请。”4<名>姓。
佼	1<动>通“交”，交往。《管子·明法解》：“则群臣皆忘主而趋私～矣。”2<动>通“姣”，轻侮。《淮南子·览冥训》：“草木不摇，而燕雀～之，以为不能与之争乎宇宙之间。”
侥	1<动>求。苏轼《上梅直讲书》：“苟其～一时之幸。”2<副>侥幸。《潜夫论·述赦》：“以赦赎数而有～望也。”
狡	1<形>健壮。《淮南子·俶真》：“～狗之死也。”【又】<形>凶暴。《墨子·节用中》：“猛禽～兽。”2<形>狡猾。《战国策·齐策四》：“～兔有三窟，仅得免其死耳。”
皎	1<形>洁白；明亮。《诗经·陈风·月出》：“月出～兮。”曹植《洛神赋》：“远而望之，～若太阳升朝霞。”2<形>清楚，明白。王逸《离骚经序》：“其词温而难，其义～而朗。”
矫	1<动>矫正；匡正；把弯曲的东西弄直。《汉书·诸侯王表》：“可谓～枉而过其正矣。”2<动>举起；抬高。《归去来兮辞》：“时～首而暇观。”【又】<动>张开。《山中裴秀才迪书》：“白鸥～翼。”3<动>诈称；假托。《冯谖客孟尝君》：“～命以责赐诸民，因烧其券。”《五人墓碑记》：“且～诏纷出。”4<动>违背；背离。《韩非子·问辩》：“官府有法而民以私行～之。”
脚	1<名>小腿。《墨子·明鬼》：“羊起而触之，折其～。”2<名>足；脚板。《梦游天姥吟留别》：“～著谢公屐，身登轻云梯。”3<名>物体的支撑部分。《南齐书·五行志》：“巴州城西古楼～柏柱数百年。”4<名>物体的根基部分。《美猴王》：“原来此处远通山～之下。”
搅	1<动>搅扰；打搅干扰。《鲁提辖拳打镇关西》：“～俺弟们吃酒。”2<动>搅拌；拌和。《智取生辰纲》：“把瓢去兜时，药已～在酒里。”
湫	1<名>水池。杜甫《乾元中寓居同谷县作》诗：“南有龙兮在山～。”2<形>凉。宋玉《高唐赋》：“～兮如风，凄兮如雨。”
湫	<形>低下。《左传·昭公三年》：“子之宅近市，～隘器尘，不可以居。”
湫	通“愁”。《左传·昭公三年》：“恤恤乎，～乎攸乎！深思而浅谋，迩身而远志，家臣而君图，有人矣哉！”
缴	<动>缠绕；纠缠不清。白居易《早梳头》：“年事渐蹉跎，世缘方～绕。”
缴	射鸟时系在箭上便于收回的生丝绳。
皦	1<形>白；明亮。《诗经·王风·大车》：“谓予不信，有如～日。”2<形>清晰；分明。《论语·八佾》：“乐其可知也。始作，翕如也。从之，纯如也，～如也。”
叫	1<动>呼叫；呼喊。《阿房宫赋》：“戍卒～中，函谷举。”2<动>招呼；召唤。杜甫《遭田父泥饮美严中丞》遭：“～妇开大瓶，盆中为吾取。”3<动>鸣叫。《与朱元思书》：“蝉则千转不穷，猿则百～无绝。”4<动>称呼。《林黛玉进贾府》：“你只～他‘凤辣子’就是了。”【又】<动>名叫；叫做。《鲁提辖拳打镇关西》：“也不枉了～做‘镇关西。’”5<动>让；使。《葫芦僧判断葫芦案》：“使眼色不～他发签。”
峤	<名>尖而高的山。《采草药》：“岭～微草，凌冬不雕。”《游黄山记》：“下盼诸峰，时出为碧～，时没为银海。”
较	1<动>比较。《六国论》：“则胜负之数，存亡之理，当与秦相～，或未易量。”2<动>较量；比高下。《促织》：“自增惭怍，不敢与～。”3<动>计算；统计。杨衒之《洛阳伽蓝记·法云寺》：“钱绢露积于廊者，不可～数。”4<动>相差。皮日休《汴河怀古》：“若无水殿龙舟事，共禹论功不～多。”5<形>明显；明白。《史记·刺客列传》：“然其立意～然不欺志。”6<副>略微；稍稍。杜甫《人日》：“冰雪莺难至，春寒花～迟。”
教	1<名>教化；教育。《礼祀·学记》：“是故学然后知不足，～然后知困。”2<动>教导；教诲。《师说》：“爱其子，择师而～之。”【又】<名>教诲；指教。《荆轲刺秦王》：“此此臣日夜切齿拊心也，乃今得闻～。”3<动>指示；指点。《促织》：“得无～我猎虫所耶？”
教	1<动>教授；传授知识技能。《孔雀东南飞》：“十三～汝织，十四能裁衣。”2<动>使；令；让。《琵琶行》：“曲罢曾～善才服，妆成每被秋娘妒。”王昌龄《出塞》：“但使龙城飞将在，不～胡马度阴山。”
斠	1<名>古代量谷物时刮平斗斛的器具。【引】平，划一。“～然一概。”2<动>通“校”，校正。通常用于书名，如《说文解字斠诠》。
噍	<动>嚼，吃东西。《荀子·荣辱》：“呥呥而～，乡乡而饱。”
噍	<副>急促。《礼祀·乐记》：“其声～以杀。”
噍	见“噍噍”。
醮	1<名>古代用于冠礼和婚礼的一种斟酒仪式。《仪礼·士昏礼》：“使人～之。”2<动>旧时称妇女出嫁。《聊斋志异·陆判》：“妹嫁而丧二夫，故十九犹未～也。”3<动>祭祀，祈祷。宋玉《高唐赋》：“～诸神。”【引】<动>道士设祭坛祭祀。王建《同于汝锡游降圣观》：“阅说开元斋～日。”4<形>尽。《荀子·礼论》：“利爵之不～也。”
阶	1<名>台阶。《哀江南》：“枯枝败叶当～罩，谁祭扫？。”2<名>梯子。《盐铁论·刑德》：“犹释～而欲登高。”3<名>官阶；官位的等级。《左传·襄公二十四年》：“敢问降～何由？。”4<名>缘由；原因。《国语·周语中》：“夫婚姻，祸福之～也。”5<名>凭借物；资本。《汉书·异姓诸侯表》：“汉亡尺土之～，……五载而成帝业。”
皆	1<副>全；都；尽。表示范围。《论语》：“过也，人～见之。”2<副>一起；同时。表示时间。《韩非子·外储说右上》：“吾欲与子～行。”
接	1<动>接触；交接。《寡人之于国也》：“填然鼓之，兵刃既～，弃甲曳兵而走。”2<动>连接；毗连。《赤壁之战》：“操军方连船舰，首尾相～。”3<动>接待；交际。《屈原列传》：“出则～遇宾客，应对诸侯。”4<动>迎接。《宣和遗事·前集》：“笙箫细乐，却安排～驾。”5<动>接应；援接。《游黄山记》：“每至手足无可着处，澄源必先登垂～。”6<动>达到。《滕王阁序》：“北海虽赊，扶摇可～。”7<动>承接。《史记·平准书》：“汉兴，～秦之弊。”8<动>捆绑；束缚。《童区寄传》：“二豪贼劫持，反～，布囊其口。”9<动>对飞驰的东西迎面射击；射中。《白马篇》：“仰手～飞猱，俯身散马蹄。”10<动>标明。《墨池记》：“教授王君盛恐其不章也，书‘晋王右军墨池’之六字于楹间以～之。”
喈	<象声词>鸟叫声音。常常叠用。《诗经·周南·葛覃》：“黄鸟于飞，集于灌木，其鸣～～。”【又】泛指和谐的声音。《诗经·小雅·鼓钟》：“鼓钟～～。”
嗟	1<动>嗟叹；叹息。《兰亭集序》：“每览昔人兴感之由，若合一契，未尝不临文～悼，不能喻之于怀。”2<动>赞叹；赞美。《宋史·王质传》：“见其所为文，～赏之。”3<叹>表示呼唤、呵斥、感叹、赞叹等。《礼记·檀弓下》：“黔敖左奉食，右执饮，曰：‘～！来食。’”《岳阳楼记》：“～夫！予尝求古仁人之心，或异二者之为，何哉？”
揭	1<动>高举；举起。《过秦论》：“斩木为兵，～竿而起。”2<动>显露；显现。《战国策·韩策》：“唇～者甚齿寒。”3<动>分开；拨开。《柳毅传》：“武夫～水指路。”4<动>掀；启；打（开）。《智取生辰纲》：“一个客人便去～开桶盖。”5<名>标识。郭璞《江赋》：“峨眉为泉阳之～。”
孑	<形>孤单；孤独。李密《陈情表》：“茕茕～立，形影相吊。”
孑	<名>通“戟”，古代一种兵器。《左传·庄公四年》：“授师～焉。”
节	1<名>竹节。《晋书·杜预传》：“譬如破竹，数～之后，皆迎刃而解。”2<名>泛指植物的茎节；植物枝干交接之处。《易·说卦》：“其于木也，为坚多～。”3<名>人及动物的骨节、关节。《庖丁解牛》：“彼～者有间，而刀刃者无厚。”4<名>时节；季节。《雨霖铃》：“更那堪冷落清秋～。”5<名>节日。《九月九忆山东兄弟》：“每逢佳～倍思亲。”6<名>符节；旌节。缀有旄牛尾的竹竿，为古代使者出使的信物。《江城子·密州出猎》：“持～云中，何日遣冯唐？”7<名>礼节；礼仪。《论积贮疏》：“管子曰：‘仓廪实而知礼～。’”8<名>常规惯例。《狱中杂记》：“寝食违～。”9<名>气节；节操。《陈情表》：“本图宦达，不矜名～。”10<名>贞节；贞操。《孔雀东南飞》：“君既为府吏，守～情不移。”11<名>关键；要害。《察传》：“夫乐，天之精也，得失之～也。”⑿<名>章节；段落。李商隐《杂纂》：“文无句读，书少章～。”⒀<名>节度；法度；分寸。《荀子·成相》：“言有～。”⒁<名>一种用竹子编成的可拍击成声的乐器。左思《蜀都赋》：“巴姬弹弦，汉女击～。”⒂<名>节拍；节奏。《促织》：“每闻琴瑟之声，则应～而舞。”⒃<动>节制；节约。《长亭送别》：“趁程途～饮食，顺时自保揣身体。”《训俭示康》：“小人寡欲则能谨身～用，远罪丰家。”⒄<形>简明；简要。《答韦中立论师道书》：“疏之欲其通，廉之欲其～。”⒅<名>斗拱；屋柱上端承梁的方形木头。《训俭示康》：“（管仲）山～藻棁，孔子鄙其小器。”
讦	<动>攻击或揭发别人的短处。《汉书·外戚传下》：“～扬幽昧之过，此臣所深痛也。”今有“攻讦”。
劫	1<名>胁迫；威逼。《荆轲刺秦王》：“事所以不成者，乃欲以生～之，必得约契以报太子。”2<动>抢劫；掠夺。《汉书·王尊传》：“阻山横行，剽～良民。”3<名>劫灾；灾祸。佛教用语。《大日经》：“周遍生圆光，如～灾猛焰。”4<名>梵语“劫波”的省称，佛教称世界由生成至毁灭的一个轮回为一劫。《红楼梦》：“以不知过了几世几～。”
杰	1<名>才智出众的人。《隆中对》：“自董卓以来，豪～并起。”2<形>突出；峻拔。《过小孤山大孤山》：“又有一石，不附山，～然特起。”3<副>特别异寻常。《狱中杂记》：“大盗积贼，杀人重囚，气～旺。”4<动>通“桀”，凶暴。《北史·韩褒传》：“乃悉召～黠少年，素为乡里患者，置为主帅。”
诘	1<动>责问；追问。《狱中杂记》：“主者口呿舌挢，终不敢～。”2<动>追究；穷究。《察变》：“实则今兹所见，乃自不可穷～之变动而来。”3<动>查办；处罚。《管子·五辅》：“～诈伪，屏谗慝。”4<动>询问；探问。《柳毅传》：“毅～之曰：‘子何苦而自辱如上？’”
拮	见“拮据”。
拮	<动>逼迫。《战国策·秦策三》：“大夫种为越王垦草剏邑，辟地殖谷，……勾践终～而杀之。”
洁	1<形>清洁；洁净。《寓言四则·宋人沽酒》：“宋人有沽酒者，为器甚～清。”2<形>纯洁；高尚。《屈原列传》：“其志～，故其称物芳。”【又】<形使动>使……纯洁高尚。《信陵君窃符救赵》：“臣修身～行数十年。”3<形>白；洁白。《醉翁亭记》：“风霜高～，水落而石出者，山间之四时也。”4<形>明洁；简洁。《答韦立论师道书》：“参之太史以著其～。”
结	1<动>（在绳子上）打结；绾疙瘩。《老子》：“使民复～绳而用之。”2<动>系；结扎；缠束。《诫兄子严敦书》：“施衿～缡，申父母之戒。”3<名>结头；结子。《论衡·实知》：“天下事有不可知，犹～有不可解也。”4<名>结症；问题所之处。《史记·扁鹊仓公列传》：“尽见五藏症～。”5<动>缝补；编织。《五柳先生传》：“短褐穿～，箪瓢屡空。”《汉书·董仲舒传》：“临渊羡鱼，不如退而～网。”6<名>补丁。杜甫《北征》：“经年至茅屋，妻子衣百～。”7<动>凝结；凝聚。《孔雀东南飞》：“寒风摧树木，严霜～庭兰。”8<动>缔结；结交。《隆中对》：“外～好孙权，内修政理。”9<动>了结；终结。《聊斋志异·商三官》：“两兄出讼，经岁不得～。”10<动>构筑；建造。《饮酒》：“～庐在人境，而无车马喧。”11<名>字据；契约；证明材料。刘鹗《老残游记》：“可以令其具～了案。”
结	<名>通“髻”，发髻。《楚辞·招魂》：“激楚之～，独秀仙些。”
桀	1<名>鸡栖的木桩。《诗经·王风·君子于役》：“鸡栖于～。”2<形>凶暴。柳宗元《封建论》：“～猾时起。”3<形>优秀；杰出；高出。《诗经·卫风·伯兮》：“邦之～兮。”《水经注·江水》：“比之诸岭，尚为竦～。”4<名>夏朝末代君王，相传是暴君。
桀	<动>通“揭”，举。《左传·成公二年》：“～石以投人。”
婕	见“婕妤”。
捷	1<形>胜利；成功。《史记·卫青传》：“军大～，皆诸校尉力战之功也。”2<名>战利品。《左传·襄公二十五年》：“郑子产献～于晋。”3<形>迅速；敏捷。《韩非子·难言》：“～敏辩给。”4<动>抄近路。《左传·成公五年》：“待我，不如～之速也。”
颉	1<动>鸟飞向上。《诗经·邶风·燕燕》：“燕燕于飞，～之顽之。”【又】指鱼向上游。《汉书·扬雄传上》：“柴虒参差，鱼～而鸟目行。”2见“颉颃”。
颉	<动>克减。《新唐书·高仙芝传》：“然以我为盗～资粮，则诬也。”
睫	1<名>眼睫毛。《韩非子·喻老》：“能见百步之外，而涌自见其～。”2<动>眨眼。《列子·仲尼》：“矢耒注眸子而眶不～。
碣	1名>圆顶的墓碑；纪念碑。《述异记》：“崆峒山中有尧碑禹～，皆籀文焉。”《<黄花冈七十二烈士事略>序》：“延至七年，始有墓～之修建。”
竭	1<动>完尽；完了。《曹刿论战》：“彼～我盈，故克之。”2<动>竭尽；用尽。《滕王阁序》：“敢～鄙怀，恭疏短引。”3<副>全；都。《管子·大匡》：“诸侯之兵～至，以待桓公。”4<动>枯竭；干涸。《苦斋记》：“吾闻井以甘～，李以苦存。”【引】<动使动>使……枯竭；使……干涸。《吕氏春秋·义赏》：“～泽而渔，岂不获得，而明年无鱼。”
羯	1<名>被阉的公羊。【又】泛指羊。蔡琰《胡笳十八拍》：“～羶为味兮，枉遏我情。”2<名>我国古代北部的一个民族。东晋时曾建立后赵。
解	1<动>解剖；分割。《庖丁解牛》：“庖丁为文惠君～牛。”2<动>解开；解下。《公输》：“子墨子～带为城。”3<动>解除；消除。《荆轲刺秦王》：“今有一言，可以～燕国之患。”4<动>溶解；溶化。《满井游记》：“于时冰皮始～，波色乍明。”5<动>排解；化解。《师说》：“句读之不知，惑之不～。”6<动>解围；撤围。《信陵君窃符救赵》：“秦军～去，遂救邯郸。”7<动>解脱。道家称人死后灵魂脱离躯体而升天成仙。《梅花岭记》：“谓颜太师以兵～。”8<动>缓解；和解。《触龙说赵太后》：“太后之色少～。”9<动>解释；解说。《隆中对》：“关羽、张飞等不悦，先主～之。”10<动>理解；懂得。《与妻书》：“家中诸母皆通文，有不～处，望请其指教。”11<动>能；合。罗隐《西施》：“西施若～倾吴国，越国亡来又是谁。”⑿<名>见解；见识。《南史·张邵传》：“融玄义无师法，而神～过人。”⒀<动>解便；解手。戚继光《练兵实记》：“遇夜即于厕中大小～。”⒁<名>文体的一种，用于释疑。如韩愈的《进学解》。
解	1<动>遣；发遣。《宋史·举志》：“天下之士屏居山林，令监司守臣～送。”2<动>解送；押送。《水浒传》：“开封府公文只叫～活的去，却不曾教结果了他。”
介	1<名>界线；边界。《诗经·周颂·思文》：“无此疆尔～。”2<名>边；畔。屈原《哀郢》：“哀州土之平乐兮，悲江～之遗风。”3<动>间隔；隔开。《汉书·翼奉传》：“前向崧高，后～大河。”4<动>居……之间。《左传·襄公三十一年》：“敝邑褊小，～于大国。”5<动>介绍；引见。《后汉书·符融传》：“融一见嗟服，因以～于李膺。”6<名>介绍人；居中引见的人。《荀子·大略》：“诸侯相见，卿为～。”7<名>甲；铠甲。贾谊《陈政事疏》：“将士被～胄而睡。”8<动>披上铠甲。《周亚父军细柳》：“～胄之士不拜，请以军礼见。”《垂老别》：“男儿既～胄，长揖别上官。”9<量>个。多与“一”构成“一介”表示“小小的一个”。《廉颇蔺相如列传》：“大王遣一～之使至赵。”10<形>通“芥”，比喻微小。《冯谖客孟尝君》：“孟尝君为相数十年，无纤～之祸者，冯谖之计也。”
戒	1<动>警戒；警惕；戒备。《孔雀东南飞》：“多谢后世人，～之慎勿忘。”2<动>告诫；劝诫。《冯婉贞》：“三保～团众装药实弹，毋亡发。”3<动>戒除；禁戒。《谏太宗十思疏》：“不念居安思危，～奢以俭。”4<动>古人在祭祀或举行庄严隆重的大事前，洁身静心、克制嗜欲以示诚敬，多“斋戒”连用。《廉颇蔺相如列传》：“于是赵王乃斋～五日。”5<名>戒规。《晋书·会稽王道子传》：“佛教以五～为教，绝酒不淫。”
芥	1<名>菜名。味辛辣，种子研成粉末可调味或入药。《智取生辰纲》：“比得～菜子大小的官职，值得恁地逞能。”2<名>小草。《六国论》：“子孙视之不甚惜，举以予人，如弃草～。”3<名>比喻微小的东西。《促织》：“遂于蒿莱中侧听徐行，似寻针～。”4<形>微小的。黄宗羲《原臣》：“以纤～之疾也。”
届	<分理处>至；到达。《诗经·小雅·小弁》：“譬彼舟流，不知所～。”《三国志·魏书·武帝纪》：“致～官渡。”今有“届时”、“届期”。
界	1<名>边界；疆界。《得道多助，失道寡助》：“域民不以封疆之～。”2<名>界限；界线。《后汉书·马融传》：“奢俭之中，以礼为～。”3<名>地域；境域。干宝《搜神记》：“今在汝南北宜春县～。”4<名>指一定的范围。刘沧《宿题天霁寺》：“蓬莱仙～海门通。”
诫	1<动>告诫；警告。《北史·萧琮传》：“赐梁之大臣玺书，～勉之。”2<动>警戒；戒备。贾谊《治安策》：“前车覆，后车～。”
借	1<动>借入；暂用他人之物。《黄生借书说》：“黄生允修～书。”2<动>获得；达到。邹阳《狱中上梁王书》：“慈仁殷勤，诚嘉于心，此不可以虚辞～也。”3<动>借出；将己物暂供他人使用。《论语·卫灵公》：“有马者，～人乘之。”4<动>给予；托付。《后汉书·郑太传》：“若～之朝政，……必危朝廷。”5<动>凭借；倚仗。《公输》：“北方有侮臣者，愿～子杀之。”6<动>哀悯；怜惜。陆游《书驿壁》：“女儿薄命天不～，青灯独宿江边舍。”7<连>假使；即使。《陈涉世家》：“～第令勿斩，而戍死者固十六七。”
藉	1<动>踩；；践踏。《赤壁之战》：“羸兵为人马所蹈～，陷泥中，死者甚众。”2<动>欺负；欺凌。《史记·魏其武安侯列传》：“今我在也，而人皆～吾弟，令我百岁后，皆鱼肉之矣。”
藉	1<名>草垫子。《楚辞·九歌·东皇太一》：“蕙肴蒸兮兰～。”2<动>垫。《赤壁赋》：“相与枕～乎舟中，不知东方之既白。”3<动>凭借；依靠。《过秦论》：“是以陈涉不用汤武之贤，不～公侯之尊。”4<动>借；借给。《谏逐客书》：“此所谓～寇兵、赍盗粮者也。”5<连>如果；假使。《陈涉世家》：“～弟令毋斩，而戍死者固十六七。”【辨】藉，籍。二字在古多通用。但“户籍”、“典籍”、“书籍”、“籍没”的“籍”不写作“藉”；而“草垫”的意义一般也不写作“籍”。
巾	1<名>手巾；面巾；擦拭用的布帛。《杜少府之任蜀州》：“无为在歧路，儿女共沾～。”2<名>头巾；覆盖头或缠束头发的织物。《念奴娇·赤壁怀古》：“羽扇纶～，谈笑间，樯橹灰飞烟灭。”3<动>覆盖；包裹。《庄子·天运》：“夫刍狗之未陈也，盛以箧衍，～以文绣。”4<名>古代快信写在帛巾上，因代指快信。《与妻书》：“～短情长，所未尽者，尚有万千。”
今	1<名>现在；如今。《廉颇蔺相如列传》：“～臣至，大王见臣列观。”2<名>现代；当代。《察今》：“察～可以知古。”3<副>将要；将会。《鸿门宴》：“吾属～为之虏矣。”4<连>假如；如果。《庄暴见孟子》：“～王与百姓同乐，则王矣。”
斤	1<名>斧子；斧头。《寡人之于国也》：“斧～以时入山林，材木不可胜用也。”2<量>重量单位，旧时以十六两为一斤。《东方朔》：“复赐酒一石，肉百～，归遗细君。”
